Month,Region,Revenue_USD,Fill_Rate_Percent,Inventory_Turnover,Forecast_Accuracy,Customer_Satisfaction_Score,Stockout_Rate,Warehouse_Utilization,Supplier_Lead_Time,Market_Share,SKU_Count
2024-01,North,1250000,94.2,8.1,82.5,4.1,3.2,78.5,12.3,14.5,450
2024-02,North,1320000,95.1,8.4,84.0,4.2,2.8,79.2,11.8,14.8,455
2024-03,North,1285000,93.8,7.9,83.2,4.0,3.5,80.1,12.5,14.6,452
2024-04,South,980000,91.5,7.2,80.1,3.9,4.1,82.3,13.2,12.3,380
2024-05,South,1050000,92.8,7.5,81.5,4.0,3.8,81.5,12.8,12.8,385
2024-06,South,1120000,93.2,7.8,82.0,4.1,3.5,80.8,12.5,13.1,390
2024-07,East,890000,90.5,6.8,79.0,3.8,4.5,83.2,14.0,11.2,320
2024-08,East,920000,91.2,7.0,80.5,3.9,4.2,82.8,13.5,11.5,325
2024-09,East,960000,92.0,7.3,81.0,4.0,3.9,82.1,13.1,11.8,330
2024-10,West,1150000,94.8,8.2,85.0,4.3,2.5,77.2,11.0,15.2,420
2024-11,West,1200000,95.5,8.5,86.0,4.4,2.2,76.8,10.5,15.5,425
2024-12,West,1280000,96.0,8.8,87.5,4.5,2.0,76.0,10.2,16.0,430
